time_s,speed_mph
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,4
8,8
9,12
10,16
11,15
12,13
13,11
14,9
15,5
16,3
17,0
18,0
19,5
20,9
21,11
22,12
23,12
24,12
25,13
26,13
27,13
28,12
29,12
30,11
31,9
32,8
33,8
34,10
35,10
36,9
37,8
38,7
39,7
40,6
41,3
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,3
91,3
92,12
93,16
94,21
95,25
96,33
97,38
98,43
99,49
100,46
101,44
102,47
103,53
104,55
105,52
106,44
107,37
108,31
109,27
110,33
111,45
112,54
113,51
114,44
115,43
116,48
117,51
118,57
119,74
120,86
121,94
122,102
123,108
124,114
125,116
126,119
127,117
128,106
129,95
130,85
131,76
132,76
133,80
134,74
135,62
136,59
137,64
138,70
139,72
140,65
141,62
142,64
143,64
144,70
145,78
146,87
147,97
148,105
149,111
150,113
151,114
152,117
153,120
154,113
155,97
156,83
157,70
158,58
159,49
160,44
161,47
162,54
163,61
164,68
165,69
166,68
167,69
168,73
169,78
170,80
171,87
172,84
173,72
174,64
175,60
176,59
177,63
178,65
179,68
180,79
181,80
182,66
183,54
184,45
185,39
186,42
187,52
188,65
189,73
190,64
191,53
192,43
193,36
194,33
195,37
196,50
197,61
198,71
199,74
200,63
201,54
202,46
203,39
204,40
205,39
206,39
207,45
208,53
209,63
210,71
211,79
212,71
213,53
214,59
215,53
216,50
217,55
218,55
219,52
220,48
221,42
222,34
223,27
224,35
225,46
226,56
227,54
228,47
229,46
230,50
231,54
232,64
233,81
234,90
235,97
236,105
237,111
238,115
239,120
240,123
241,117
242,107
243,93
244,82
245,78
246,84
247,80
248,70
249,63
250,68
251,73
252,69
253,64
254,60
255,62
256,65
257,74
258,83
259,92
260,100
261,109
262,113
263,115
264,118
265,121
266,123
267,120
268,102
269,82
270,67
271,54
272,46
273,47
274,54
275,63
276,69
277,70
278,65
279,66
280,73
281,81
282,88
283,92
284,82
285,72
286,66
287,61
288,62
289,65
290,66
291,73
292,81
293,75
294,63
295,51
296,45
297,41
298,44
299,53
300,64
301,71
302,63
303,51
304,44
305,38
306,36
307,41
308,52
309,62
310,68
311,71
312,62
313,52
314,46
315,45
316,40
317,38
318,45
319,54
320,65
321,76
322,80
323,69
324,60
325,56
326,53
327,52
328,56
329,53
330,50
331,46
332,40
333,35
334,32
335,37
336,49
337,58
338,52
339,46
340,44
341,51
342,56
343,68
344,86
345,96
346,103
347,111
348,115
349,119
350,123
351,122
352,109
353,96
354,86
355,81
356,84
357,80
358,68
359,60
360,61
361,67
362,71
363,65
364,57
365,56
366,60
367,63
368,72
369,82
370,91
371,101
372,110
373,114
374,117
375,120
376,123
377,122
378,110
379,98
380,82
381,66
382,56
383,48
384,46
385,52
386,61
387,67
388,68
389,65
390,68
391,74
392,74
393,82
394,90
395,93
396,82
397,71
398,64
399,64
400,66
401,66
402,73
403,83
404,78
405,65
406,54
407,45
408,41
409,49
410,61
411,74
412,73
413,60
414,49
415,39
416,35
417,34
418,45
419,58
420,68
421,75
422,69
423,57
424,49
425,44
426,44
427,44
428,48
429,55
430,66
431,73
432,79
433,71
434,59
435,55
436,49
437,48
438,58
439,62
440,58
441,48
442,40
443,33
444,28
445,31
446,41
447,53
448,56
449,48
450,40
451,45
452,52
453,53
454,66
455,84
456,96
457,104
458,110
459,114
460,118
461,122
462,117
463,104
464,92
465,84
466,80
467,84
468,84
469,76
470,67
471,66
472,73
473,77
474,70
475,64
476,65
477,67
478,75
479,85
480,93
481,101
482,109
483,114
484,116
485,118
486,120
487,122
488,117
489,103
490,83
491,64
492,52
493,49
494,51
495,56
496,66
497,71
498,66
499,67
500,73
501,74
502,79
503,86
504,94
505,89
506,80
507,72
508,65
509,63
510,60
511,67
512,78
513,82
514,71
515,57
516,47
517,41
518,44
519,55
520,67
521,78
522,68
523,55
524,40
525,33
526,32
527,41
528,54
529,65
530,74
